Ticker,Return,Volatility,SMA_Short,SMA_Long,TrendRatio,RSI,Liquidity,SixM_Return,Close,PE,PB,PEG,DebtToEquity,Revenue,NetIncome,MarketCap,Beta,ProfitMargin,FreeCashFlow,CurrentRatio,ReturnOnAssets,ReturnOnEquity,OperatingMargins
RELIANCE.NS,0.027791869270527236,0.012855497863334571,1386.65,1445.7780004882814,0.9591029878250243,52.318985925588386,14382667.0,0.15695142944943297,1420.0999755859375,23.574036,2.2792788,,36.605,9765410308096,815039971328,19217501913088,0.218,0.083459996,,,,,0.11929
TCS.NS,0.001660467614597927,0.004216567625293438,3034.169970703125,3255.3419970703126,0.9320587432699131,29.74748121127611,2650468.0,-0.20292807448724404,3016.199951171875,22.160017,11.145805,,9.714,2561480065024,492729991168,10912882753536,0.333,0.19236,341783740416.0,2.262,0.24604,0.51589,0.24457
INFY.NS,0.002925164388525303,0.009333821319452765,1435.939990234375,1557.3439990234374,0.9220441926349021,33.315924846658746,3985045.0,-0.20477139321268045,1440.0,21.384022,539.3258,,8.894,19504001024,3204000000,5969188749312,0.348,0.16427,3329062400.0,2.182,0.14858,0.30365,0.20886
HDFCBANK.NS,-0.006238770289635487,0.008380202322110729,1986.3800048828125,1985.592001953125,1.0003968604471172,49.83853884753655,6175210.0,0.1527906622710422,1991.0999755859375,22.739836,2.8099623,,,2736060628992,705753120768,15281532436480,0.623,0.25794,,,0.01733,0.13925,0.29772
ICICIBANK.NS,0.0011850503771917431,0.0057625454935453365,1434.1800170898437,1440.51400390625,0.9956029675523941,45.61491461238448,6709373.0,0.13842985061976587,1436.300048828125,19.5176,3.1097765,,,2054846152704,528909598720,10254077132800,0.495,0.2574,,,0.02229,0.17884001,0.39253
KOTAKBANK.NS,0.014240031803908648,0.011499423482042562,1988.2299926757812,2109.3560107421877,0.9425767781969684,48.08160419561045,3111759.0,0.02261965965443946,2029.9000244140625,21.08549,2.562646,,,750728577024,191500091392,4036090920960,0.378,0.25509,,,,0.13324,0.33905998
ITC.NS,0.006891504786294966,0.006343372141676846,412.8400024414062,415.9460021972656,0.9925326851575644,41.85648070502408,16678556.0,0.006643730924166702,409.1000061035156,25.681105,7.3104486,,0.405,790403219456,199679000576,5124141350912,0.057,0.44154,,,,,0.29744
AXISBANK.NS,0.0005541987802215598,0.008865541667390519,1071.939990234375,1143.9840014648437,0.93702358499925,43.547978364311184,5661524.0,0.07104363209611031,1083.199951171875,12.098738,1.7312833,,,769364983808,278624010240,3360324583424,0.476,0.36215,,,0.01768,0.15557,0.45122
BAJFINANCE.NS,-0.0032037388145761403,0.0204815861943343,878.4550048828125,915.3340002441406,0.9597097940735386,52.02624995856189,5764215.0,0.06914547744499155,902.2999877929688,32.156094,5.793184,,294.158,387755802624,174254505984,5605439307776,0.476,0.44939,,,,0.20079,0.60695
ADANIENT.NS,0.023482945832294932,0.024207401160411736,2291.17001953125,2499.1320068359373,0.9167863135137145,47.92203643784913,1069090.0,0.09519435476314331,2388.39990234375,43.928635,5.7803493,,162.597,943835512832,62314500096,2757479366656,0.71,0.06758,,,,0.14343001,0.09227
AAPL,-0.0009961268489195874,0.021568013957423922,227.87099914550782,210.72679992675782,1.0813574695990675,68.91829301150493,11624139.0,-0.05803075811014591,230.66000366210938,35.05015,52.0492,,154.486,408624988160,99280003072,3422641455104,1.165,0.24295999,94873747456.0,0.868,0.24545999,1.49814,0.29990998
MSFT,-0.016399112104271807,0.009257354032015429,520.7779968261718,503.5567993164062,1.0341991162330524,45.254331484929956,5963128.0,0.22627000166210687,508.6199951171875,37.260075,11.007706,,32.661,281723994112,101831999488,3780510220288,1.055,0.36146,61070376960.0,1.353,0.14203,0.33280998,0.44901
GOOGL,-0.014226065220938278,0.010667968874374623,201.12749938964845,185.29369903564452,1.0854524489305921,62.874375952347094,7361188.0,0.08277104281018022,200.60499572753906,21.38646,6.6906247,,11.481,371399000064,115572998144,2430349606912,1.014,0.31118,49786499072.0,1.904,0.16792,0.34829,0.32429
GOOG,-0.013779368912477552,0.010547544382619336,201.96050109863282,186.24489990234375,1.0843813774472721,62.981592208361846,4980487.0,0.07665794285468275,201.47500610351562,21.479212,6.719641,,11.481,371399000064,115572998144,2431440650240,1.014,0.31118,49786499072.0,1.904,0.16792,0.34829,0.32429
AMZN,-0.014039483013861598,0.01641485024403287,225.72000122070312,221.90320098876953,1.0172002937088176,55.13856369890916,9569161.0,0.0071040929076626735,228.24000549316406,34.84733,7.28977,,47.808,670038032384,70623002624,2434263416832,1.314,0.105399996,31024001024.0,1.024,0.07699,0.2477,0.11432
TSLA,-0.012115977357843866,0.018027692734073193,332.34791870117186,321.05638244628904,1.0351699479351477,53.92757731842824,35876272.0,-0.08170841222429781,331.0992126464844,197.0625,13.805304,,16.823,92719996928,5879000064,1067833622528,2.331,0.063439995,1339624960.0,2.037,0.02911,0.08177,0.04103
META,-0.021182747548436742,0.016767949982442347,772.4914978027343,726.5931005859375,1.0631693270687317,51.05333842142405,4899449.0,0.06727335548430924,751.114990234375,27.263521,9.687742,,25.406,178803998720,71507001344,1886893506560,1.273,0.39992002,31991250944.0,1.973,0.18465,0.40647998,0.43019
NVDA,-0.021317453662566432,0.010243539655741069,181.2309997558594,165.06740051269531,1.09792120790029,56.07703005491247,68653618.0,0.27939388313562374,178.1300048828125,57.63916,51.80483,,12.267,148514996224,76773998592,4343553589248,2.145,0.51694,55443001344.0,3.388,0.53244996,1.15463,0.49108002
